wbs_code,wbs_description,bac,period,bcws_cum,bcwp_cum,acwp_cum
WBS-1.1,Mainline Construction – North (km 0–250),485000000,2026-01,4500000,3800000,3900000
WBS-1.1,Mainline Construction – North (km 0–250),485000000,2026-02,12500000,9800000,10500000
WBS-1.1,Mainline Construction – North (km 0–250),485000000,2026-03,24000000,18200000,19800000
WBS-1.1,Mainline Construction – North (km 0–250),485000000,2026-04,40000000,32000000,36000000
WBS-1.1,Mainline Construction – North (km 0–250),485000000,2026-05,58200000,43650000,48000000
WBS-1.2,Mainline Construction – South (km 250–500),493000000,2026-01,4200000,4100000,4050000
WBS-1.2,Mainline Construction – South (km 250–500),493000000,2026-02,11000000,10800000,10600000
WBS-1.2,Mainline Construction – South (km 250–500),493000000,2026-03,22000000,21500000,21200000
WBS-1.2,Mainline Construction – South (km 250–500),493000000,2026-04,37000000,36500000,36000000
WBS-1.2,Mainline Construction – South (km 250–500),493000000,2026-05,52000000,50000000,49500000
WBS-2.0,Compression Stations (CS1–CS4),340000000,2026-01,8000000,7800000,7900000
WBS-2.0,Compression Stations (CS1–CS4),340000000,2026-02,16000000,15500000,15900000
WBS-2.0,Compression Stations (CS1–CS4),340000000,2026-03,26000000,24000000,25500000
WBS-2.0,Compression Stations (CS1–CS4),340000000,2026-04,36000000,31500000,34000000
WBS-2.0,Compression Stations (CS1–CS4),340000000,2026-05,45000000,38000000,41500000
WBS-3.1,Owner's Engineer – Technical Advisory,28000000,2026-01,2200000,2150000,2180000
WBS-3.1,Owner's Engineer – Technical Advisory,28000000,2026-02,4500000,4400000,4450000
WBS-3.1,Owner's Engineer – Technical Advisory,28000000,2026-03,7000000,6900000,6950000
WBS-3.1,Owner's Engineer – Technical Advisory,28000000,2026-04,9200000,8800000,9000000
WBS-3.1,Owner's Engineer – Technical Advisory,28000000,2026-05,11200000,10500000,10800000
WBS-3.2,Independent Cost & Schedule Assurance,4500000,2026-01,270000,270000,270000
WBS-3.2,Independent Cost & Schedule Assurance,4500000,2026-02,540000,540000,540000
WBS-3.2,Independent Cost & Schedule Assurance,4500000,2026-03,810000,810000,810000
WBS-3.2,Independent Cost & Schedule Assurance,4500000,2026-04,1080000,1080000,1080000
WBS-3.2,Independent Cost & Schedule Assurance,4500000,2026-05,1350000,1350000,1350000
